Year,Type,Fund_Name,Assets,Liabilities,County
2016,fire,East St Louis Firefighters Pension Fund,8035346.73,59839694.24,St. Clair
2016,fire,Edwardsville Firefighters Pension Fund,13539317.37,20967918.57,Madison
2016,fire,Effingham Firefighters Pension Fund,9428962.81,14685364.82,Effingham
2016,fire,Elburn/Countryside FPD Firefighters Pension Fund,7099507.4,8931721.56,Kane
2016,fire,Elgin Firefighters Pension Fund,75865786.05,154848345.1,Cook
2016,fire,Elk Grove Village Firefighters Pension Fund,65050321.33,118300218.7,Cook
2016,fire,Elmhurst Firefighters Pension Fund,39611021.37,58445486.39,Cook
2016,fire,Elmwood Park Firefighters Pension Fund,13744071.77,32729585.12,Cook
2016,fire,Elwood Fire Protection District,1306602.72,1656858.47,Will
2016,fire,Evanston Firefighters Pension Fund,74208165.55,153492255.9,Cook
2016,fire,Evergreen Park Firefighters Pension Fund,583437.12,3426804.49,Cook
2016,fire,Fairfield Firefighters Pension Fund,1858518.73,3779501.91,Wayne
2016,fire,Fairview/Caseyville FPD Firefighters  Pension Fund,2826873.93,3202959.67,St. Clair
2016,fire,Flossmoor Firefighters Pension Fund,2298139.56,5832938.68,Cook
2016,fire,Forest Park Firefighters Pension Fund,14893423.8,33348009.2,Cook
2016,fire,Forest View Firefighters Pension Fund,2009055.31,5522873.46,Cook
2016,fire,Fosterburg FPD Firefighters Pension Fund,1517947.92,2375602.87,Madison
2016,fire,Fox Lake Firefighters Pension Fund,1095577.76,1285154.81,Lake
2016,fire,Frankfort FPD Firefighters Pension Fund,14566659.9,17786361.67,Cook
2016,fire,Franklin Park Firefighters Pension Fund,26837676.31,52590926.74,Cook
2016,fire,Freeport Firefighters Pension Fund,34120009.9,45867069.83,Stephenson
2016,fire,Galesburg Fire Fighters Pension Fund,22703031.59,47704275.01,Knox
2016,fire,Geneva Firefighters Pension Fund,14025610.24,18540450.88,Kane
2016,fire,Glencoe Firefighters Pension Fund,2191.4,387557.73,Cook
2016,fire,Glenside FPD Firefighters Pension Fund,9826731.92,16802291.54,DuPage
2016,fire,Glenview Firefighters Pension Fund,77280754.79,119192674.6,Cook
2016,fire,Glenwood Firefighters Pension Fund,2567225.61,4931918.42,Cook
2016,fire,Godfrey Paid Firefighters Pension Fund,6952348.57,10341992.45,Madison
2016,fire,Granite City Firefighters Pension Fund C/O Gail Va,15353435.75,58395488.05,Madison
2016,fire,Grayslake FPD Firefighters Pension Fund,13781526.6,23346459.54,Lake
2016,fire,Greater Round Lake FPD Firefighters Pension Fund,17058436.95,20962181.32,Lake
2016,fire,Gurnee Firefighters Pension Fund,30877428.57,43024959.15,Lake
2016,fire,Hampshire FPD Firefighters Pension Fund,2333964.78,3221851.5,Kane
2016,fire,Hanover Park Firefighters Pension Fund,17871177.07,28644649.04,Cook
2016,fire,Harlem-Roscoe Firefighters Pension Fund,276756.89,322828.21,Winnebago
2016,fire,Harrisburg Firefighters Pension Fund,4000931.55,5424498.99,Saline
2016,fire,Harvey Firefighters Pension Fund,10344257.72,46315095.05,Cook
2016,fire,Hazel Crest Firefighters Pension Fund,7632375.92,10931946.37,Cook
2016,fire,Herrin Firefighters Pension Fund,8053992.35,13618061.09,Williamson
2016,fire,Highland Park Firefighters Pension Fund,38587609.79,74096441.67,Lake
2016,fire,Highwood Firefighters Pension Fund,3654518.88,4259226.13,Lake
2016,fire,Hillsboro Firefighter'S Pension Fund,948048.83,1800645.61,Montgomery
2016,fire,Hillside Firefighters Pension Fund,11272998.02,25015309.9,Cook
2016,fire,Hinckley Community FPD Firefighter'S Pension Fund,61522.88,145333.23,DeKalb
2016,fire,Hinsdale Firefighters Pension Fund,17294486.52,28683397.57,Cook
2016,fire,Hoffman Estates Firefighters Pension Fund,77634627.45,114457488.5,Cook
2016,fire,Homer Township FPD Firefighters Pension Fund,10975108.27,12026570.08,Champaign
2016,fire,Homewood Firefighters Pension Fund,12481009.66,18536692.2,Cook
2016,fire,Huntley FPD Firefighters Pension Fund,22684403.41,25407725.29,Kane
2016,fire,Itasca FPD #1 Firefighters Pension Fund,13070187.58,19180101.1,DuPage
2016,fire,Ivesdale FPD Firefighters Pension Fund,166104.34,333012.58,Champaign
2016,fire,Jacksonville Firefighters Pension Fund,17736177.91,26017007.86,Morgan
2016,fire,Jefferson FPD Firefighters Pension Fund,1472408.4,2947975.77,Jefferson
2016,fire,Jerseyville Firefighter'S Pension Fund,269218.96,317002.46,Jersey
2016,fire,Joliet Firefighters Pension Fund,136182024.1,252903664.4,Kendall
2016,fire,Justice Firefighters Pension Fund,139963,706948,Cook
2016,fire,Kankakee Firefighters Pension Fund,11016542.74,57099753.31,Kankakee
2016,fire,Kewanee Community FPD Firefighters Pension Fund,475551.85,1256772.11,Henry
2016,fire,Kewanee Firefighters Pension Fund,8370032.49,15295929.51,Henry
2016,fire,Lagrange Firefighters Pension Fund,10576946.51,25327270.19,Cook
2016,fire,Lake Egypt FPD Firefighters Pension Fund,1682407.79,1823123.53,Williamson
2016,fire,Lake Forest Firefighters Pension Fund,33539241,46711205.2,Lake
2016,fire,Lake Villa FPD Firefighter'S Pension Fund,344639.13,0,Lake
2016,fire,Lake Zurich Firefighters Pension Fund,31026233.59,48218196.86,Lake
2016,fire,Lansing Firefighters Pension Fund,13304245.02,25357732.98,Cook
2016,fire,Lasalle Firefighters Pension Fund,1828781.49,3410103.27,LaSalle
2016,fire,Lemont FPD Firefighters Pension Fund,26576659.71,36553882.64,Cook
2016,fire,Leyden FPD Firefighters Pension Fund,5772087.63,15568251.98,Cook
2016,fire,Libertyville Firefighters Pension Fund,26226467.07,39040240.12,Lake
2016,fire,Lincoln Firefighters Pension Fund,5803723.8,17983003.57,Logan
2016,fire,Lincoln Rural FPD Firefighters Pension Fund,3429642.76,3840211.45,Logan
2016,fire,Lincolnshire-Riverwood FPD Firefighters Pension Fu,32830774.63,39466749.93,Lake
2016,fire,Lisle-Woodridge FPD Firefighters Pension Fund,61872515.52,125606152.2,DuPage
2016,fire,Litchfield Firefighters Pension Fund,5338213.84,7816130.37,Montgomery
2016,fire,Lockport Township FPD Pension Fund,41665836.91,65986565.9,Will
2016,fire,Lombard Firefighters Pension Fund,57186289.55,75107096.45,DuPage
2016,fire,Long Creek FPD Firefighters Pension Fund,620805.57,863440.28,Macon
2016,fire,Long Grove Firefighters Pension Fund,9540798.57,10432987.66,Lake
2016,fire,Lyons Firefighters Pension Fund,179.19,375662.01,Cook
2016,fire,Macomb Firefighters Pension Fund,10694503.95,19464295.12,McDonough
2016,fire,Manhattan FPD Firefighter'S Pension Fund,1263851.7,2296013.85,Will
