Year,Type,Fund_Name,Assets,Liabilities
2005,fire,EAST ST LOUIS FIREFIGHTERS PENSION FUND,11401874.73,38997106.15
2005,fire,EDWARDSVILLE FIREFIGHTERS PENSION FUND,8698369.84,9991231.48
2005,fire,EFFINGHAM FIREFIGHTERS PENSION FUND,6461328.57,7881757.83
2005,fire,ELBURN/COUNTRYSIDE FPD FIREFIGHTERS PENSION FUND,824913.5,1086560.74
2005,fire,ELGIN FIREFIGHTERS PENSION FUND,43062692.44,76700304.52
2005,fire,ELK GROVE VILLAGE FIREFIGHTERS PENSION FUND,49295672,61017122.15
2005,fire,ELMHURST FIREFIGHTERS PENSION FUND,21368851.48,31403753.96
2005,fire,ELMWOOD PARK FIREFIGHTERS PENSION FUND,5963930.52,19132378.84
2005,fire,ELWOOD FIRE PROTECTION DISTRICT,206361.87,173489.43
2005,fire,EVANSTON FIREFIGHTERS PENSION FUND,38088390.87,87614923.53
2005,fire,EVERGREEN PARK FIREFIGHTERS PENSION FUND,1323753.45,1999494.67
2005,fire,FAIRFIELD FIREFIGHTERS PENSION FUND,1377607.92,1929950.32
2005,fire,FAIRVIEW/CASEYVILLE FPD FIREFIGHTERS  PENSION FUND,1213329.71,1314553.79
2005,fire,FLOSSMOOR FIREFIGHTERS PENSION FUND,1570692.39,1909506.96
2005,fire,FOREST PARK FIREFIGHTERS PENSION FUND,12596622.32,18902425.98
2005,fire,FOREST VIEW FIREFIGHTERS PENSION FUND,2267678.81,3497492.13
2005,fire,FOSTERBURG FPD FIREFIGHTERS PENSION FUND,443970.3,755339.45
2005,fire,FOX LAKE FIREFIGHTERS PENSION FUND,176426.82,49062
2005,fire,FOX RIVER GROVE FPD FIREFIGHTERS PENSION FUND,62001.14,0
2005,fire,FRANKFORT FPD FIREFIGHTERS PENSION FUND,1093364.75,681683.29
2005,fire,FRANKLIN PARK FIREFIGHTERS PENSION FUND,16563031.44,31816944.61
2005,fire,FREEPORT FIREFIGHTERS PENSION FUND,22217154.63,26671984.21
2005,fire,GALESBURG FIRE FIGHTERS PENSION FUND,20743869.26,31096265.92
2005,fire,GENEVA FIREFIGHTERS PENSION FUND,5364077.42,6807013.68
2005,fire,GLENCOE FIREFIGHTERS PENSION FUND,607898.05,819638
2005,fire,GLENSIDE FPD FIREFIGHTERS PENSION FUND,4292409.72,8208719.19
2005,fire,GLENVIEW FIREFIGHTERS PENSION FUND,45973907.81,62762882.69
2005,fire,GLENWOOD FIREFIGHTERS PENSION FUND,1345841,1819870.56
2005,fire,GODFREY PAID FIREFIGHTERS PENSION FUND,3204939.26,4273742.01
2005,fire,GRANITE CITY FIREFIGHTERS PENSION FUND C/O GAIL VA,17220221.83,35220803.94
2005,fire,GRAYSLAKE FPD FIREFIGHTERS PENSION FUND,3863853.59,5783944.98
2005,fire,GREATER ROUND LAKE FPD FIREFIGHTERS PENSION FUND,4709075.22,7118682.77
2005,fire,GURNEE FIREFIGHTERS PENSION FUND,10383226.39,13571622.38
2005,fire,HAMPSHIRE FPD FIREFIGHTERS PENSION FUND,307647,315204.6
2005,fire,HANOVER PARK FIREFIGHTERS PENSION FUND,6533726.72,10226553.92
2005,fire,HARRISBURG FIREFIGHTERS PENSION FUND,1746958.77,2381307.46
2005,fire,HARVARD FPD PENSION FUND,23827,12752.21
2005,fire,HARVEY FIREFIGHTERS PENSION FUND,16409448.3,28146217.79
2005,fire,HAZEL CREST FIREFIGHTERS PENSION FUND,3445199.14,3439337.45
2005,fire,HERRIN FIREFIGHTERS PENSION FUND,3529957.93,6269444.85
2005,fire,HIGHLAND PARK FIREFIGHTERS PENSION FUND,23872608.48,40886802.91
2005,fire,HIGHWOOD FIREFIGHTERS PENSION FUND,1251867.89,1372119.51
2005,fire,HILLSIDE FIREFIGHTERS PENSION FUND,6249117.72,11182270.97
2005,fire,HINSDALE FIREFIGHTERS PENSION FUND,9664533.82,14580776.97
2005,fire,HOFFMAN ESTATES FIREFIGHTERS PENSION FUND,43030766,55833123.14
2005,fire,HOMER TOWNSHIP FPD FIREFIGHTERS PENSION FUND,492825,407092.35
2005,fire,HOMEWOOD FIREFIGHTERS PENSION FUND,6617821,8079484.03
2005,fire,HUNTLEY FPD FIREFIGHTERS PENSION FUND,3061774.04,3431145.08
2005,fire,ITASCA FPD #1 FIREFIGHTERS PENSION FUND,3422369,6028891.78
2005,fire,IVESDALE FPD FIREFIGHTERS PENSION FUND,20607.04,36402.31
2005,fire,JACKSONVILLE FIREFIGHTERS PENSION FUND,12250640.11,15986334.48
2005,fire,JEFFERSON FPD FIREFIGHTERS PENSION FUND,972365.68,1370525.67
2005,fire,JOLIET FIREFIGHTERS PENSION FUND,55515330,118110759.5
2005,fire,JUSTICE FIREFIGHTERS PENSION FUND,361680.42,438923
2005,fire,KANKAKEE FIREFIGHTERS PENSION FUND,10147331.35,32469603.35
2005,fire,KEWANEE COMMUNITY FPD FIREFIGHTERS PENSION FUND,438976.48,597433.85
2005,fire,KEWANEE FIREFIGHTERS PENSION FUND,6655823,9146670.82
2005,fire,LAGRANGE FIREFIGHTERS PENSION FUND,8087943.73,14350141.14
2005,fire,LAKE EGYPT FPD FIREFIGHTERS PENSION FUND,359426.24,150541.59
2005,fire,LAKE FOREST FIREFIGHTERS PENSION FUND,18099033.15,22916855.14
2005,fire,LAKE ZURICH FIREFIGHTERS PENSION FUND,5799962.97,14107173.4
2005,fire,LANSING FIREFIGHTERS PENSION FUND,7619586.56,12184483.18
2005,fire,LASALLE FIREFIGHTERS PENSION FUND,1176014.74,1399136.86
2005,fire,LEMONT FPD FIREFIGHTERS PENSION FUND,6228778.98,9456636.07
2005,fire,LEYDEN FPD FIREFIGHTERS PENSION FUND,6642783.67,9391881.21
2005,fire,LIBERTYVILLE FIREFIGHTERS PENSION FUND,12448434.48,16941226.63
2005,fire,LINCOLN FIREFIGHTERS PENSION FUND,7399269,11861958.18
2005,fire,LINCOLN RURAL FPD FIREFIGHTERS PENSION FUND,3197348,1845801.84
2005,fire,LINCOLNSHIRE-RIVERWOOD FPD FIREFIGHTERS PENSION FU,14241818.56,15498193.6
2005,fire,LISLE-WOODRIDGE FPD FIREFIGHTERS PENSION FUND,31992407.07,50015907.5
2005,fire,LITCHFIELD FIREFIGHTERS PENSION FUND,3785507.85,3946095.78
2005,fire,LOCKPORT TOWNSHIP FPD PENSION FUND,16276648,25544630.32
2005,fire,LOMBARD FIREFIGHTERS PENSION FUND,25429614.9,33026210.07
2005,fire,LONG CREEK FPD FIREFIGHTERS PENSION FUND,558195.5,315803.01
2005,fire,LONG GROVE FIREFIGHTERS PENSION FUND,175620.67,0
2005,fire,LYONS FIREFIGHTERS PENSION FUND,23856,258859
2005,fire,MACOMB FIREFIGHTERS PENSION FUND,9376102.15,11334364.8
2005,fire,MANTENO COMMUNITY FPD FIREFIGHTERS PENSION FUND,1296351.74,1303907.69
2005,fire,MARION FIREFIGHTERS PENSION FUND,4650032.7,7100070.25
2005,fire,MARKHAM FIREFIGHTERS PENSION FUND,1881865.12,2047233.17
2005,fire,MATTESON FIREFIGHTERS PENSION FUND,11203527.07,15084594.17
2005,fire,MATTOON FIREFIGHTERS PENSION FUND,14534609.84,25333419.45
2005,fire,MAYWOOD FIREFIGHTERS PENSION FUND,12889717.29,26817693.64
2005,fire,MCCOOK FIREFIGHTERS PENSION FUND,194715.25,686290.36
2005,fire,MELROSE PARK FIREFIGHTERS PENSION FUND,22504019.77,48810267.11
2005,fire,MENDOTA FIREFIGHTERS PENSION FUND,1073459.82,1561102.2
2005,fire,METROPOLIS FIREFIGHTERS PENSION FUND,1654399.65,2583298.08
2005,fire,MIDLOTHIAN FIREFIGHTERS PENSION FUND,6310116,7909170.3
2005,fire,MINOOKA FPD FIREFIGHTERS PENSION FUND,225623.82,977255.97
2005,fire,MOKENA FPD FIREFIGHTERS PENSION FUND,2151168.12,2615087.85
2005,fire,MOLINE FIREFIGHTERS PENSION FUND,27048914.63,52195216.95
2005,fire,MONMOUTH FIREFIGHTERS PENSION FUND,3834843.53,6683045.96
2005,fire,MORTON GROVE FIREFIGHTERS PENSION FUND,19366865.2,34992807.89
2005,fire,MT CARMEL FIREFIGHTERS PENSION FUND,1207439.46,1230748.2
2005,fire,MT PROSPECT FIREFIGHTERS PENSION FUND,38091422.59,56636804.21
2005,fire,MT VERNON FIREFIGHTERS PENSION FUND,10585196.62,15737555.75
2005,fire,MT ZION FPD FIREFIGHTERS PENSION FUND,510876.67,506230.48
2005,fire,MUNDELEIN FIREFIGHTERS PENSION FUND,9205411.98,10687362.72
2005,fire,MURPHYSBORO FIREFIGHTERS PENSION FUND,2455503.53,4008153.22
2005,fire,NAPERVILLE FIREFIGHTERS PENSION FUND,53685250.23,72317235.87
2005,fire,NEW LENOX FPD FIREFIGHTERS PENSION FUND,938109.45,769600.3
2005,fire,NEWPORT TOWNSHIP FPD FIREFIGHTERS PENSION FUND,95354,141661.38
2005,fire,NILES FIREFIGHTERS PENSION FUND,25390005.95,37897710.37
2005,fire,NORMAL FIREFIGHTERS PENSION FUND,16314537.16,25206452.29
2005,fire,NORTH AURORA FPD FIREFIGHTERS PENSION FUND,625126,760531.28
2005,fire,NORTH CHICAGO FIREFIGHTERS PENSION FUND,8219943.13,14390265.72
2005,fire,NORTH MAINE FPD FIREFIGHTERS PENSION FUND,10236995.63,18507974.07
2005,fire,NORTH PALOS FPD FIREFIGHTERS PENSION FUND,4784920,6011228.08
2005,fire,NORTH RIVERSIDE FIREFIGHTERS PENSION FUND,8148733.35,12746336.64
2005,fire,NORTHBROOK FIREFIGHTERS PENSION FUND,33657528.66,40707242.68
2005,fire,NORTHLAKE FPD FIREFIGHTERS PENSION FUND,6245072.82,10064485.29
2005,fire,NORTHWEST HOMER FPD FIREFIGHTERS PENSION FUND,1467066,1605555.3
2005,fire,NORTHWEST ST CLAIR COUNTY FPD FIREFIGHTERS PENSION,245865.4,270199.23
2005,fire,NORWOOD PARK FPD FIREFIGHTERS PENSION FUND,9537960.95,15888104.99
2005,fire,NUNDA RURAL FPD FIREFIGHTERS PENSION FUND,6089.92,238324
2005,fire,OAK BROOK FIREFIGHTERS PENSION FUND,20083457,27457425.21
2005,fire,OAK FOREST FIREFIGHTERS PENSION FUND,9058628.95,11973437.64
2005,fire,OAK LAWN FIREFIGHTERS PENSION FUND,54073737.4,75731813.94
2005,fire,OAK PARK FIREFIGHTERS PENSION FUND,36676862.43,70937373.31
2005,fire,OAKBROOK TERRACE FIRE PROTECTION DISTRICT,488793,841687.8
2005,fire,OLNEY FIREFIGHTERS PENSION FUND,1775277.45,2057255.84
2005,fire,ORLAND FPD FIREFIGHTERS PENSION FUND,40124528.39,48492253.78
2005,fire,OSWEGO FPD FIREFIGHTERS PENSION FUND,98689.17,147201.67
2005,fire,OTTAWA FIREFIGHTERS PENSION FUND,10076075.61,15184792.74
2005,fire,PALATINE FIREFIGHTERS PENSION FUND,35594148,53622989.93
2005,fire,PALATINE RURAL FPD FIREFIGHTERS PENSION FUND,3209225.69,4202783
2005,fire,PALOS FPD PENSION FUND,4339157.85,5334450.54
2005,fire,PALOS HEIGHTS FPD PENSION FUND,4318623.57,5481949.16
2005,fire,PARIS FIREFIGHTERS PENSION FUND,4282718.92,5628600.75
2005,fire,PARK FOREST FIREFIGHTERS PENSION FUND,7565220.33,14227447.87
2005,fire,PARK RIDGE FIREFIGHTERS PENSION FUND,26272138.95,36309338.62
2005,fire,PEKIN FIREFIGHTERS PENSION FUND,12530893,34115826.15
2005,fire,PEORIA FIREFIGHTERS PENSION FUND,95935218.42,140632841.7
2005,fire,PEOTONE FPD FIREFIGHTERS PENSION FUND,280426.74,297292.68
2005,fire,PERU FIREFIGHTERS PENSION FUND,1210401.2,1592265.84
2005,fire,PINGREE GROVE & COUNTRYSIDE FPD FIREFIGHTER'S PENS,65964.12,62223.98
2005,fire,PLAINFIELD FPD FIREFIGHTERS PENSION FUND,403964,273097.01
2005,fire,PLEASANTVIEW FPD,16542589.82,20636626.39
2005,fire,PONTIAC FIREFIGHTERS PENSION FUND,2942042.11,3740440.43
2005,fire,POSEN FIREFIGHTERS PENSION FUND,480732,663400.24
2005,fire,PRINCETON FIREFIGHTERS PENSION FUND,4127836.46,4436530.03
2005,fire,PROSPECT HEIGHTS FPD FIREFIGHTERS PENSION FUND,302448.63,268228.94
2005,fire,QUINCY FIREFIGHTERS PENSION FUND,20096877.9,39013739.69
2005,fire,RIVER FOREST FIREFIGHTERS PENSION FUND,10960327.6,17526823.05
2005,fire,RIVERDALE FIREFIGHTERS PENSION FUND,3844348.75,4259616.67
2005,fire,ROBBINS FIREFIGHTERS PENSION FUND,265814.85,267390.52
2005,fire,ROBERTS PARK FPD FIREFIGHTERS PENSION FUND,8348838.14,9104453.43
2005,fire,ROBINSON FIREFIGHTERS PENSION FUND,2670074.18,3270305.69
2005,fire,ROCHELLE FIREFIGHTERS PENSION FUND,5492854.28,6296231.94
2005,fire,ROCK FALLS FIREFIGHTERS PENSION FUND,5154071.88,5400670.9
2005,fire,ROCK ISLAND FIREFIGHTERS PENSION FUND,22493613.93,43396831.05
2005,fire,ROCKFORD FIREFIGHTERS PENSION FUND,131828905.5,193747663.7
2005,fire,ROLLING MEADOWS FIREFIGHTERS PENSION FUND,17572192.15,33304646.16
2005,fire,ROMEOVILLE FIREFIGHTERS PENSION FUND,1217409.69,1817545.04
2005,fire,ROSELLE FIREFIGHTERS PENSION FUND,2125798.46,2761518.92
2005,fire,RUTLAND/DUNDEE TWPS FPD FIREFIGHTER'S PENSION FUND,714903.51,849925.37
2005,fire,SALEM FPD FIREFIGHTERS PENSION FUND,1517079.64,2007288.71
2005,fire,SAUK VILLAGE FIREFIGHTERS PENSION FUND,38213.71,34938.25
2005,fire,SAVANNA FIREFIGHTERS PENSION FUND,1204000.56,1421833.81
2005,fire,SCHAUMBURG FIREFIGHTERS PENSION FUND,57249511.21,91813537.51
2005,fire,SCHILLER PARK FIREFIGHTERS PENSION FUND,7284915.86,13032504.42
2005,fire,SHELBYVILLE FPD FIREFIGHTERS PENSION FUND,808427.33,821869.33
2005,fire,SIGNAL HILL FPD FIREFIGHTERS PENSION FUND,256561.96,235635.79
2005,fire,SILVIS FIREFIGHTERS PENSION FUND,126888.91,127170.97
2005,fire,SKOKIE FIREFIGHTERS PENSION FUND,60025321,86050008.67
2005,fire,SOUTH BELOIT FIREFIGHTERS PENSION FUND,283965.05,837710.61
2005,fire,SOUTH CHICAGO HEIGHTS FIREFIGHTERS PENSION FUND,155124.37,267760
2005,fire,SOUTH ELGIN/COUNTRYSIDE FPD FIREFIGHTERS PENSION F,2830541.34,4962622.56
2005,fire,SOUTH HOLLAND FIREFIGHTERS PENSION FUND,5138651,6984884.72
2005,fire,SPRINGFIELD FIREFIGHTER'S PENSION FUND,72524696.16,141642142.1
