Year,Type,Fund_Name,Assets,Liabilities
2007,police,BELLWOOD POLICE PENSION FUND,21811502,34093108.43
2007,police,BELVIDERE POLICE PENSION FUND,11438731.43,15958362.64
2007,police,BENSENVILLE POLICE PENSION FUND,13147625.25,19810362.7
2007,police,BENTON POLICE PENSION FUND,1527009.61,3466241.53
2007,police,BERKELEY POLICE PENSION FUND,6748780,8854590.55
2007,police,BERWYN POLICE PENSION FUND,32790231.85,64619453.72
2007,police,BETHALTO POLICE PENSION FUND,4660757.06,6266154.61
2007,police,BLOOMINGDALE POLICE PENSION FUND,18150855.72,28662181.07
2007,police,BLOOMINGTON POLICE PENSION FUND,42209136.27,73599407.06
2007,police,BLUE ISLAND POLICE PENSION FUND,7248279.07,22460776.29
2007,police,BOLINGBROOK POLICE PENSION FUND,37080612.47,58990726.44
2007,police,BOURBONNAIS POLICE PENSION FUND,7131827.02,8147663.32
2007,police,BRADLEY POLICE PENSION FUND,8746534.12,12201070.81
2007,police,BRAIDWOOD POLICE PENSION FUND,1084695.47,2591521.78
2007,police,BRIDGEVIEW POLICE PENSION FUND,13368482.94,26242477.05
2007,police,BROADVIEW POLICE PENSION FUND,18877261.9,28713270.91
2007,police,BROOKFIELD POLICE PENSION FUND,11365736,23137120.41
2007,police,BUFFALO GROVE POLICE PENSION FUND,33839850.74,51490909.57
2007,police,BURBANK POLICE PENSION FUND,22059283.04,26510164.5
2007,police,BURNHAM POLICE PENSION FUND,1837422.91,2829384.16
2007,police,BURR RIDGE POLICE PENSION FUND,9227439,12366602.97
2007,police,CAHOKIA POLICE PENSION FUND,13027976.92,16610762.31
2007,police,CAIRO POLICE PENSION FUND,1355673.99,4057096.96
2007,police,CALUMET CITY POLICE PENSION FUND,31927559.3,48877491.76
2007,police,CALUMET PARK POLICE PENSION FUND,5265014.21,10511768.7
2007,police,CANTON POLICE PENSION FUND,11294162.7,11228892.09
2007,police,CARBONDALE POLICE PENSION FUND,17706922.69,29519552.37
2007,police,CARLINVILLE POLICE PENSION FUND,2760102.88,4013194.41
2007,police,CARMI POLICE PENSION FUND,2967820.26,4553882.57
2007,police,CAROL STREAM POLICE PENSION FUND,23626298.3,32673828.35
2007,police,CARPENTERSVILLE POLICE PENSION FUND,18339547.84,34273894.63
2007,police,CARY POLICE PENSION FUND,4508622.69,8866953
2007,police,CASEYVILLE POLICE PENSION FUND,1706628.63,2870625.52
2007,police,CENTRALIA POLICE PENSION FUND,8039356.68,15304191.03
2007,police,CENTREVILLE POLICE PENSION FUND,1587064.1,2522764.02
2007,police,CHAMPAIGN POLICE PENSION FUND,57206420.42,78250910.48
2007,police,CHANNAHON POLICE PENSION FUND,2387407,3347175.84
2007,police,CHARLESTON POLICE PENSION FUND,10393317.75,17361909.33
2007,police,CHATHAM POLICE PENSION FUND,2613447.26,4183296.98
2007,police,CHERRY VALLEY POLICE PENSION FUND,1064152.79,5540161.47
2007,police,CHESTER POLICE PENSION FUND,1735977.64,2510193.49
2007,police,CHICAGO HEIGHTS POLICE PENSION FUND,32398236,60231288.19
2007,police,CHICAGO RIDGE POLICE PENSION FUND,11821655.44,23178620.41
2007,police,CHILLICOTHE POLICE PENSION FUND,2155397.44,2944477.77
2007,police,CICERO POLICE PENSION FUND,39646054.81,77778878.49
2007,police,CLARENDON HILLS POLICE PENSION FUND,6466352,9505107.11
2007,police,CLINTON POLICE PENSION FUND,3545193.45,3576775.52
2007,police,COAL CITY POLICE PENSION FUND,527185.13,2721821.94
2007,police,COLLINSVILLE POLICE PENSION FUND,15706991.23,21858510.53
2007,police,COLONA POLICE PENSION FUND,740205.54,1677853.25
2007,police,COLUMBIA POLICE PENSION FUND,3077577.52,4674370.48
2007,police,COUNTRY CLUB HILLS POLICE PENSION FUND,9686815.3,15313050.44
2007,police,COUNTRYSIDE POLICE PENSION FUND,13663832.7,22544438.53
2007,police,CREST HILL POLICE PENSION FUND,8902610,12406993.98
2007,police,CRESTWOOD POLICE PENSION FUND,376846.72,934329.74
2007,police,CRETE POLICE PENSION FUND,4538536.42,5591131.2
2007,police,CREVE COEUR POLICE PENSION FUND,1922938.19,2806602.45
2007,police,CRYSTAL LAKE POLICE PENSION FUND,20366743.12,33669203.26
2007,police,DANVILLE POLICE PENSION FUND,16938310.7,41416714.17
2007,police,DARIEN POLICE PENSION FUND,13762107.12,24413796.18
2007,police,DECATUR POLICE PENSION FUND,62199265.79,96945846.86
2007,police,DEERFIELD POLICE PENSION FUND,24708569.54,34948886.81
2007,police,DEKALB POLICE PENSION FUND,23078177,37611914.98
2007,police,DES PLAINES POLICE PENSION FUND,48639033.3,96708053.28
2007,police,DIXON POLICE PENSION FUND,11933317.58,14084184.33
2007,police,DOLTON POLICE PENSION FUND,22918021.88,23463819.59
2007,police,DOWNERS GROVE POLICE PENSION FUND,35082021.63,57274392.43
2007,police,DUQUOIN POLICE PENSION FUND,3010132.84,4287027.81
2007,police,EAST ALTON POLICE PENSION FUND,2799289.12,5541259.87
2007,police,EAST DUNDEE POLICE PENSION FUND,5208830,7725858.68
2007,police,EAST MOLINE POLICE PENSION FUND,16654912.32,22504964.46
2007,police,EAST PEORIA POLICE PENSION FUND,19088970.28,26634920.15
2007,police,EAST ST LOUIS POLICE PENSION FUND,17471332.82,42028140.59
2007,police,EDWARDSVILLE POLICE PENSION FUND,11234856.3,15580595.59
2007,police,EFFINGHAM POLICE PENSION FUND,11208176.05,13337753.62
2007,police,ELDORADO POLICE PENSION FUND,1152065.49,1521398.09
2007,police,ELGIN POLICE PENSION FUND,54756107.97,116538176.9
2007,police,ELK GROVE VILLAGE POLICE PENSION FUND,45698543.06,68760179.21
2007,police,ELMHURST POLICE PENSION FUND,40267299.73,60275217.41
2007,police,ELMWOOD PARK POLICE PENSION FUND,11299623.02,28483369.63
2007,police,EVANSTON POLICE PENSION FUND,61913065.46,136588282.8
2007,police,EVERGREEN PARK POLICE PENSION FUND,38638157.56,39923859.76
2007,police,FAIRFIELD POLICE PENSION FUND,1804062.24,4446744.31
2007,police,FAIRVIEW HEIGHTS POLICE PENSION FUND,15663128.92,21636934.53
2007,police,FLORA POLICE PENSION FUND,3649182.01,5771898.05
2007,police,FLOSSMOOR POLICE PENSION FUND,10078757,13166682.48
2007,police,FOREST PARK POLICE PENSION FUND,18011890.42,25108752.89
2007,police,FOREST VIEW POLICE PENSION FUND,2792737.7,4801650.84
2007,police,FOX LAKE POLICE PENSION FUND,7120593.17,12477195.11
2007,police,FOX RIVER GROVE POLICE PENSION FUND,850441.94,3696378.94
2007,police,FRANKFORT POLICE PENSION FUND,4867404.08,9857430.05
2007,police,FRANKLIN PARK POLICE PENSION FUND,19330482.67,36849658.06
2007,police,FREEPORT POLICE PENSION FUND,15345386.89,28989967.24
2007,police,GALESBURG POLICE PENSION FUND,21323421.12,32927447.47
2007,police,GENESEO POLICE PENSION FUND,4070925.28,5384084.11
2007,police,GENEVA POLICE PENSION FUND,13325026.13,19875335.61
2007,police,GILBERTS POLICE PENSION FUND,494767,768201.86
2007,police,GLEN CARBON POLICE PENSION FUND,2167077.56,3217129.88
2007,police,GLEN ELLYN POLICE PENSION FUND,19953797.13,25135556.52
2007,police,GLENCOE POLICE PENSION FUND,18849655.77,30080402.24
2007,police,GLENDALE HEIGHTS POLICE PENSION FUND,19355916.43,31980268.23
2007,police,GLENVIEW POLICE PENSION FUND,40812547.97,56250267.33
2007,police,GLENWOOD POLICE PENSION FUND,5433208.62,9615882.06
2007,police,GRANITE CITY POLICE PENSION FUND,16827903.16,37715990.39
2007,police,GRAYSLAKE POLICE PENSION FUND,7238421,9136292.04
2007,police,GREENVILLE POLICE PENSION FUND,2152731.44,3261889.97
2007,police,GURNEE POLICE PENSION FUND,17970990.75,26034258.6
2007,police,HANOVER PARK POLICE PENSION FUND,16401292.27,30003658.03
2007,police,HARRISBURG POLICE PENSION FUND,3192188,5766111.12
2007,police,HARVARD POLICE PENSION FUND,4335513.86,7224106.4
2007,police,HARVEY POLICE PENSION FUND,18035764.63,21905651.17
2007,police,HARWOOD HEIGHTS POLICE PENSION FUND,11369948.66,16930355.21
2007,police,HAWTHORN WOODS POLICE PENSION FUND,717539.39,1937290.39
2007,police,HAZEL CREST POLICE PENSION FUND,10657342.51,17207691.3
2007,police,HERRIN POLICE PENSION FUND,2770761.19,6330745.08
2007,police,HICKORY HILLS POLICE PENSION FUND,14569516.7,19817643.22
2007,police,HIGHLAND PARK POLICE PENSION FUND,29858955.68,55368556.48
2007,police,HIGHLAND POLICE PENSION FUND,6916956.87,8665439.54
2007,police,HIGHWOOD POLICE PENSION FUND,1395043.43,2774103.83
2007,police,HILLSBORO POLICE PENSION FUND,362772.49,1079401.08
2007,police,HILLSIDE POLICE PENSION FUND,11442921.01,25888703.72
2007,police,HINSDALE POLICE PENSION FUND,17166278.11,22473986.29
2007,police,HODGKINS POLICE PENSION FUND,6266699.75,11371533.27
2007,police,HOFFMAN ESTATES POLICE PENSION FUND,45044558.6,71242610.93
2007,police,HOMETOWN POLICE PENSION FUND,60273.68,0
2007,police,HOMEWOOD POLICE PENSION FUND,24324525,28751450.51
2007,police,HOOPESTON POLICE PENSION FUND,2942172.54,2042997.74
2007,police,HUNTLEY POLICE PENSION FUND,1887132.15,4662384.23
2007,police,ISLAND LAKE POLICE PENSION FUND,2267694.5,3459828.62
2007,police,ITASCA POLICE PENSION FUND,11329181.96,18165204.63
2007,police,JACKSONVILLE POLICE PENSION FUND,14214764.47,19784780.7
2007,police,JERSEYVILLE POLICE PENSION FUND,3316527.28,6830101.94
2007,police,JOHNSBURG POLICE PENSION FUND,969373.97,1292098.75
2007,police,JOLIET POLICE PENSION FUND,103438914,196755140.7
2007,police,JUSTICE POLICE PENSION FUND,7620122.83,11381416.67
2007,police,KANKAKEE POLICE PENSION FUND,12538907.78,39645169.11
2007,police,KENILWORTH POLICE PENSION FUND,5313770,8411706.31
2007,police,KEWANEE POLICE PENSION FUND,7761287.94,9119982.11
2007,police,KILDEER POLICE PENSION FUND,330574.93,3604840.32
2007,police,LAGRANGE PARK POLICE PENSION FUND,10775733.6,17374346.48
2007,police,LAGRANGE POLICE PENSION FUND,15756276.22,23981036.92
2007,police,LAKE BLUFF POLICE PENSION FUND,6333873.77,10197082.12
2007,police,LAKE FOREST POLICE PENSION FUND,18656643.92,33486163.63
2007,police,LAKE IN THE HILLS POLICE PENSION FUND,11568339,14650288.11
2007,police,LAKE VILLA POLICE PENSION FUND,1702833,5342320.84
2007,police,LAKE ZURICH POLICE PENSION FUND,8520926.21,21217738.96
2007,police,LANSING POLICE PENSION FUND,24654510.94,46012936.27
2007,police,LASALLE POLICE PENSION FUND,5700905.43,11128783.77
2007,police,LAWRENCEVILLE POLICE PENSION FUND,3150409.26,3466493.8
2007,police,LEMONT POLICE PENSION FUND,6606698.29,10511236.16
2007,police,LIBERTYVILLE POLICE PENSION FUND,18319176.75,30259103.73
2007,police,LINCOLN POLICE PENSION FUND,9884716.83,14377085.35
2007,police,LINCOLNSHIRE POLICE PENSION FUND,10772487.12,13923883.04
2007,police,LINCOLNWOOD POLICE PENSION FUND,13768307.52,29332697
2007,police,LINDENHURST POLICE PENSION FUND,2878699,3214972.54
2007,police,LISLE POLICE PENSION FUND,14770015.7,21593372.16
2007,police,LITCHFIELD POLICE PENSION FUND,3403205.85,5923281.95
2007,police,LOCKPORT POLICE PENSION FUND,9843209,14131028.98
2007,police,LOMBARD POLICE PENSION FUND,39937940.14,56972735.93
2007,police,LOVES PARK POLICE PENSION FUND,8628266.2,14369296.16
2007,police,LYNWOOD POLICE PENSION FUND,2530902.12,3885842.8
2007,police,LYONS POLICE PENSION FUND,10019584.35,16636441.83
2007,police,MACOMB POLICE PENSION FUND,11120459.98,14215547.5
2007,police,MADISON POLICE PENSION FUND,1186643.67,5451749.53
2007,police,MANTENO POLICE PENSION FUND,1770481.12,2060885.92
2007,police,MARENGO POLICE PENSION FUND,3490344.08,6507310.08
2007,police,MARION POLICE PENSION FUND,5785202.83,9418505.96
2007,police,MARKHAM POLICE PENSION FUND,11382173.79,12666376.59
2007,police,MARSEILLES POLICE PENSION FUND,1858305.06,2157325.7
2007,police,MARYVILLE POLICE PENSION FUND,418030.42,1106085.23
2007,police,MASCOUTAH POLICE PENSION FUND,1909857.53,2715353.91
2007,police,MATTESON POLICE PENSION FUND,18871400.57,26576010.15
2007,police,MATTOON POLICE PENSION FUND,14514231.71,26108574.55
2007,police,MAYWOOD POLICE PENSION FUND,13610301.92,36848431.53
2007,police,MCCOOK POLICE PENSION FUND,9477162.45,10856391.09
2007,police,MCHENRY POLICE PENSION FUND,15822347.24,24717778.8
2007,police,MELROSE PARK POLICE PENSION FUND,24877782.41,51235100.1
2007,police,MENDOTA POLICE PENSION FUND,2828329.57,5759171.94
2007,police,METROPOLIS POLICE PENSION FUND,2773653.51,4247406.71
2007,police,MIDLOTHIAN POLICE PENSION FUND,12346192.17,12964429.53
2007,police,MILAN POLICE PENSION FUND,5400727.97,6780332.04
2007,police,MINOOKA POLICE PENSION FUND,1477058.64,2713542.67
2007,police,MOKENA POLICE PENSION FUND,6378170.94,9355516.31
2007,police,MOLINE POLICE PENSION FUND,28687131.27,58800727.67
2007,police,MONMOUTH POLICE PENSION FUND,4770781.28,8705483.21
2007,police,MONTGOMERY POLICE PENSION FUND,5068267.51,5884609.73
2007,police,MONTICELLO POLICE PENSION FUND,520060.71,1163775.48
2007,police,MORRIS POLICE PENSION FUND,8110901.3,12118540.19
2007,police,MORTON GROVE POLICE PENSION FUND,24562023.4,42722822.8
2007,police,MORTON POLICE PENSION FUND,5520656.76,8009137.69
2007,police,MT CARMEL POLICE PENSION FUND,3413315.31,4809244.18
2007,police,MT PROSPECT POLICE PENSION FUND,42963184.79,67125245.2
2007,police,MT VERNON POLICE PENSION FUND,13428801.38,17415818.21
2007,police,MUNDELEIN POLICE PENSION FUND,16092379.93,27475684.07
2007,police,MURPHYSBORO POLICE PENSION FUND,3290636.18,5958078.18
2007,police,NAPERVILLE POLICE PENSION FUND,71416037.11,99906206.44
2007,police,NEW LENOX POLICE PENSION FUND,8286874.31,12197028.76
2007,police,NILES POLICE PENSION FUND,25551586.51,52478017.82
2007,police,NORMAL POLICE PENSION FUND,22103078,34635283.59
2007,police,NORRIDGE POLICE PENSION FUND,16419109.16,26660377.9
2007,police,NORTH AURORA POLICE PENSION FUND,6957677.2,10592385.94
2007,police,NORTH CHICAGO POLICE PENSION FUND,18844688.24,29539636.06
2007,police,NORTH RIVERSIDE POLICE PENSION FUND,14512393.41,25135531.23
2007,police,NORTHBROOK POLICE PENSION FUND,38936240.47,52209804.14
2007,police,NORTHFIELD POLICE PENSION FUND,11367554.51,19279311.54
2007,police,NORTHLAKE POLICE PENSION FUND,12675472.04,17664676.62
2007,police,OAK BROOK POLICE PENSION FUND,27432728.02,35489807.71
2007,police,OAK FOREST POLICE PENSION FUND,18263340.65,28150628.21
2007,police,OAK LAWN POLICE PENSION FUND,60076860.84,91518222.36
2007,police,OAK PARK POLICE PENSION FUND,67363764.51,105738234.5
2007,police,OAKBROOK TERRACE POLICE PENSION FUND,7540431,12900516.2
2007,police,O'FALLON POLICE PENSION FUND,11151911.7,14584195.15
2007,police,OGLESBY POLICE PENSION FUND,1626943.29,2981472.35
2007,police,OLNEY POLICE PENSION FUND,3293148.27,5755623.29
2007,police,OLYMPIA FIELDS POLICE PENSION FUND,4381271.58,9555275.11
2007,police,ORLAND HILLS POLICE PENSION FUND,1926175.01,2642460.79
2007,police,ORLAND PARK POLICE PENSION FUND,43301353.12,52688419.49
2007,police,OSWEGO POLICE PENSION FUND,6849971,11909510.24
2007,police,OTTAWA POLICE PENSION FUND,11998471.22,14222120.05
2007,police,PALATINE POLICE PENSION FUND,35137952.13,62838803.05
2007,police,PALOS HEIGHTS POLICE PENSION FUND,13119469,22121117.61
2007,police,PALOS HILLS POLICE PENSION FUND,11207221.25,17818944.13
2007,police,PALOS PARK POLICE PENSION FUND,694054,2214377.71
2007,police,PANA POLICE PENSION FUND,2265754.16,4203207.03
2007,police,PARIS POLICE PENSION FUND,4010737.62,5429212.49
2007,police,PARK CITY POLICE PENSION FUND,471093.08,2855700.89
2007,police,PARK FOREST POLICE PENSION FUND,16712088.43,26078518.24
2007,police,PARK RIDGE POLICE PENSION FUND,28284438.24,46768491.38
2007,police,PEKIN POLICE PENSION FUND,20303660.58,32896806.26
2007,police,PEORIA HEIGHTS POLICE PENSION FUND,732777.1,2132713.31
2007,police,PEORIA POLICE PENSION FUND,137350773.9,191500438.9
2007,police,PERU POLICE PENSION FUND,4826139.86,11186858.25
2007,police,PINCKNEYVILLE POLICE PENSION FUND,315129.88,1886541.11
2007,police,PLAINFIELD POLICE PENSION FUND,7522591,11299611.34
2007,police,PLANO POLICE PENSION FUND,2175853,2964611.14
2007,police,PONTIAC POLICE PENSION FUND,6920986.72,8544909.21
2007,police,PONTOON BEACH POLICE PENSION FUND,1840584.17,4736449.77
2007,police,POSEN POLICE PENSION FUND,1867162,2536236.77
2007,police,PRINCETON POLICE PENSION FUND,4914930.82,5743654.3
2007,police,PROSPECT HEIGHTS POLICE PENSION FUND,4612342.73,9841008.96
2007,police,QUINCY POLICE PENSION FUND,24707752.54,41880003.56
2007,police,RANTOUL POLICE PENSION FUND,10680473,15242568.3
2007,police,RICHTON PARK POLICE PENSION FUND,8479601.59,12662970.33
2007,police,RIVER FOREST POLICE PENSION FUND,17409741.77,26702916.96
2007,police,RIVER GROVE POLICE PENSION FUND,7644740.72,15052009.96
2007,police,RIVERDALE POLICE PENSION FUND,13581484.59,22787681.52
2007,police,RIVERSIDE POLICE PENSION FUND,8445664.54,16628975.92
2007,police,ROBBINS POLICE PENSION FUND,765547.77,1157681.89
2007,police,ROBINSON POLICE PENSION FUND,2371287.47,3282567.95
2007,police,ROCHELLE POLICE PENSION FUND,11142832.29,11698925.11
2007,police,ROCK FALLS POLICE PENSION FUND,5960233.61,7978934.67
2007,police,ROCK ISLAND POLICE PENSION FUND,24990360,57498890.69
2007,police,ROCKFORD POLICE PENSION FUND,161674221.4,203195912.9
2007,police,ROCKTON POLICE PENSION FUND,847403.41,1608521.84
2007,police,ROLLING MEADOWS POLICE PENSION FUND,22276011.62,42990189.37
2007,police,ROMEOVILLE POLICE PENSION FUND,16376667.43,24633000.34
2007,police,ROSCOE POLICE PENSION FUND,1356019.45,2795876.65
2007,police,ROSELLE POLICE PENSION FUND,15029154.46,23779516.55
2007,police,ROUND LAKE BEACH POLICE PENSION FUND,10467118.18,16940904.97
2007,police,ROUND LAKE PARK POLICE PENSION FUND,536532.9,3295906.52
2007,police,ROUND LAKE POLICE PENSION FUND,3246110,4924860.35
2007,police,SALEM POLICE PENSION FUND,4845048.07,6607909.47
2007,police,SANDWICH POLICE PENSION FUND,2568352.01,3365100.99
2007,police,SAUK VILLAGE POLICE PENSION FUND,4956106.99,6965749.18
2007,police,SAVANNA POLICE PENSION FUND,1602727.29,3053915.03
2007,police,SCHAUMBURG POLICE PENSION FUND,68265855.18,105250508.6
2007,police,SCHILLER PARK POLICE PENSION FUND,11841564.11,23591792.6
2007,police,SHELBYVILLE POLICE PENSION FUND,1533648.21,1954032.46
2007,police,SHILOH POLICE PENSION FUND,828792.62,1532615.89
2007,police,SHOREWOOD POLICE PENSION FUND,4288795,5590493.78
2007,police,SILVIS POLICE PENSION FUND,3927854.78,6798330.52
2007,police,SKOKIE POLICE PENSION FUND,70321013,96632346.23
2007,police,SOUTH BARRINGTON POLICE PENSION FUND,3033910.6,6336868.11
2007,police,SOUTH BELOIT POLICE PENSION FUND,687776,1022062.25
2007,police,SOUTH CHICAGO HEIGHTS POLICE PENSION FUND,3283542.06,3639457.56
2007,police,SOUTH ELGIN POLICE PENSION FUND,5778992.45,11393572.99
2007,police,SOUTH HOLLAND POLICE PENSION FUND,16661540.35,24585708.69
2007,police,SPRING GROVE POLICE PENSION FUND,1132881.04,2311471.33
2007,police,SPRING VALLEY POLICE PENSION FUND,2118577.48,2703325.12
2007,police,SPRINGFIELD POLICE PENSION FUND,92639274.64,166104766.2
2007,police,ST CHARLES POLICE PENSION FUND,23009120.65,32815691.03
2007,police,STAUNTON POLICE PENSION FUND,299303.82,1079582.71
2007,police,STEGER POLICE PENSION FUND,4096840.74,5252568.16
2007,police,STERLING POLICE PENSION FUND,10946451.1,15475815.54
2007,police,STICKNEY POLICE PENSION FUND,4701018.6,11178195.84
2007,police,STONE PARK POLICE PENSIONFUND,1116698.86,10248887.59
2007,police,STREAMWOOD POLICE PENSION FUND,25391280.65,35043107.19
2007,police,STREATOR POLICE PENSION FUND,6924075.75,13060539.86
2007,police,SUGAR GROVE POLICE PENSION FUND,717292.4,1859598.67
2007,police,SUMMIT POLICE PENSION FUND,7853601.62,19525171.64
2007,police,SWANSEA POLICE PENSION FUND,4662035.23,7171085.34
2007,police,SYCAMORE POLICE PENSION FUND,7231851.94,9099156
2007,police,TAYLORVILLE POLICE PENSION FUND,4371612.07,7639502.35
2007,police,TINLEY PARK POLICE PENSION FUND,34483625.94,44224458.63
2007,police,TROY POLICE PENSION FUND,3456446.45,4410977.63
2007,police,UNIVERSITY PARK POLICEMENS PENSION FUND,5365513.96,5407613.29
2007,police,URBANA POLICE PENSION FUND,21120042.47,29505544.57
2007,police,VANDALIA POLICE PENSION FUND,3806452.25,4467963.42
2007,police,VENICE POLICE PENSION FUND,956380.68,1702709.05
2007,police,VERNON HILLS POLICE PENSION FUND,22039323.6,27646900.15
2007,police,VILLA PARK POLICE PENSION FUND,22759865.18,32989393.7
2007,police,WARRENVILLE POLICE PENSION FUND,6566921,10599861.42
2007,police,WASHINGTON PARK POLICE PENSION FUND,2130005.59,2071117.11
2007,police,WASHINGTON POLICE PENSION FUND,4871728.62,5850952.89
2007,police,WATERLOO POLICE PENSION FUND,1992024,3542039.2
2007,police,WATSEKA POLICE PENSION FUND,1725973.73,5305956.2
2007,police,WAUCONDA POLICE PENSION FUND,4969142.9,10007060.5
2007,police,WAUKEGAN POLICE PENSION FUND,56314510.88,105985803.8
2007,police,WAYNE POLICE PENSION FUND,701736,1914841.37
2007,police,WEST CHICAGO POLICE PENSION FUND,14668860.98,23401794.17
2007,police,WEST DUNDEE POLICE PENSION FUND,7361003.03,10948618.89
2007,police,WEST FRANKFORT POLICE PENSION FUND,4206704.89,6423757.74
2007,police,WESTCHESTER POLICE PENSION FUND,20342199.64,26626639.92
2007,police,WESTERN SPRINGS POLICE PENSION FUND,10785533,17164051.95
2007,police,WESTMONT POLICE PENSION FUND,19717126.25,36562082.65
2007,police,WHEATON POLICE PENSION FUND,30220128.95,48323106.93
2007,police,WHEELING POLICE PENSION FUND,29964806.64,41692644.23
2007,police,WILLOW SPRINGS POLICE PENSION FUND,528325.48,3266817.97
2007,police,WILLOWBROOK POLICE PENSION FUND,10550017,14008318.39
2007,police,WILMETTE POLICE PENSION FUND,28684492.08,40026941.31
2007,police,WILMINGTON POLICE PENSION FUND,1728781.4,3351034.48
2007,police,WINFIELD POLICE PENSION FUND,4811528.41,9771037.2
2007,police,WINNETKA POLICE PENSION FUND,18234693.52,23607231.19
2007,police,WINTHROP HARBOR POLICE PENSION FUND,2408700.61,2666366.69
2007,police,WOOD DALE POLICE PENSION FUND,15697763.76,22424263.04
2007,police,WOOD RIVER POLICE PENSION FUND,7432749.77,10362968.68
2007,police,WOODRIDGE POLICE PENSION FUND,20362999.9,35196268.86
2007,police,WOODSTOCK POLICE PENSION FUND,12591426.34,17748775.88
2007,police,WORTH POLICE PENSION FUND,9928299.29,15968548.23
2007,police,YORKVILLE POLICE PENSION FUND,2161838.42,5881079.55
2007,police,ZION POLICE PENSION FUND,21330881.79,30280276.37
2008,fire,ADDISON FIREFIGHTERS PENSION FUND,32575152.11,48553528.09
2008,fire,ALGONQUIN LAKE IN THE HILLS FPD PENSION FUND,7683272.71,10872815.75
2008,fire,ALSIP FIREFIGHTERS PENSION FUND,15721646.3,24757354.87
2008,fire,ALTON FIREFIGHTERS PENSION FUND,16815779.28,52681566.12
2008,fire,ANNA FIREFIGHTERS PENSION FUND,1426844.53,1960212.19
2008,fire,ARLINGTON HEIGHTS FIREFIGHTERS PENSION FUND,54785027.09,88917855.67
2008,fire,ATWOOD FPD FIREFIGHTERS PENSION FUND,11276.79,146127
2008,fire,AURORA FIREFIGHTERS PENSION FUND,79640471.79,176768557.8
2008,fire,BARRINGTON FIREFIGHTERS PENSION FUND,6745376.96,8969353.24
2008,fire,BARTLETT FPD FIREFIGHTERS PENSION FUND,4621496.9,8958806.25
2008,fire,BATAVIA FIREFIGHTERS PENSION FUND,6820603.82,12827661.71
2008,fire,BEACH PARK FPD FIREFIGHTERS PENSION FUND,78446.08,488178.07
2008,fire,BEARDSTOWN FIREFIGHTERS PENSION FUND,607087.7,910901.79
2008,fire,BELLEVILLE FIREFIGHTERS PENSION FUND,17841516.35,43947390.77
2008,fire,BELLWOOD FIREFIGHTERS PENSION FUND,15398259.96,26296903.93
2008,fire,BELVIDERE FIREFIGHTERS PENSION FUND,10363002.18,17072790.19
2008,fire,BEMENT FPD FIREFIGHTERS PENSION FUND,214026.84,592112.88
2008,fire,BENSENVILLE FIREFIGHTERS PENSION FUND,9411217.26,19259667.83
2008,fire,BENTON FIREFIGHTERS PENSION FUND,2732569.05,3531937.77
2008,fire,BERWYN FIREFIGHTERS PENSION FUND,16925476.19,60449743.42
2008,fire,BLOOMINGDALE FPD FIREFIGHTERS PENSION FUND,18709066.39,25110839.58
2008,fire,BLOOMINGTON FIREFIGHTERS PENSION FUND,33134820.9,67939033.09
2008,fire,BLUE ISLAND FIREFIGHTERS PENSION FUND,6310033,14321185.28
2008,fire,BOLINGBROOK FIREFIGHTERS PENSION FUND,35210624.89,55133063.03
2008,fire,BOURBONNAIS FPD FIREFIGHTERS PENSION FUND,425382.48,1190679.66
2008,fire,BRADLEY FIREFIGHTERS PENSION FUND,127988.46,344490.52
2008,fire,BRIDGEVIEW FIREFIGHTERS PENSION FUND,14263962.57,31219194.12
2008,fire,BROADVIEW FIREFIGHTERS PENSION FUND,18354935.63,30386023.47
2008,fire,BROOKFIELD FIREFIGHTERS PENSION FUND,8123105.28,14927272.54
2008,fire,BUFFALO GROVE FIREFIGHTERS PENSION FUND,23948503.07,39997896.56
2008,fire,BURBANK FIREFIGHTERS PENSION FUND,15301042.38,21373219.76
2008,fire,BYRON FPD FIREFIGHTERS PENSION FUND,8374209.65,8308618.16
2008,fire,CAIRO FIREFIGHTERS PENSION FUND,1145275.06,3188730.29
2008,fire,CALUMET CITY FIREFIGHTERS PENSION FUND,27864920.2,45069904.8
2008,fire,CANTON FIREFIGHTERS PENSION FUND,6321382.51,11724904.09
2008,fire,CARBONDALE FIREFIGHTERS PENSION FUND,11449315.33,20144231.72
2008,fire,CARBONDALE TOWNSHIP FIREFIGHTERS PENSION FUND,678335.49,379340.16
2008,fire,CAROL STREAM FPD FIREFIGHTERS PENSION FUND,18835678.47,26602457.57
2008,fire,CARPENTERSVILLE FIREFIGHTERS PENSION FUND,9786407.34,13086646.06
2008,fire,CARY FPD FIREFIGHTERS PENSION FUND,1414994.71,1985886.34
2008,fire,CENTRAL STICKNEY FPD FIREFIGHTERS PENSION FUND,26865.6,105107
2008,fire,CENTRALIA FIREFIGHTERS PENSION FUND,7426990.48,13729163.77
2008,fire,CENTRALIA FPD FIREFIGHTERS PENSION FUND,480487.73,453677.37
2008,fire,CHAMPAIGN FIREFIGHTERS PENSION FUND,49076479.63,70730587.35
2008,fire,CHANNAHON FIRE PROTECTION DISTRICT FIREFIGHTERS PE,607743.81,427209.51
2008,fire,CHARLESTON FIREFIGHTERS PENSION FUND,12859818.18,21843608.59
